source_score,head_mode,topic,alpha,n_generations,dw_pred_mean,cfs_pred_mean,bt_pred_mean,dw_pred_std,cfs_pred_std,bt_pred_std
bt,topk,abortion,-10.0,5,-11.19373876475729,-27.444560419916012,-82.79557564556599,0.058594218220054124,0.3317734394721086,0.24892460791353496
bt,topk,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
bt,topk,abortion,10.0,5,11.340926201455295,25.63484896586879,82.98906342685223,0.13730012734096156,0.2371453773350643,0.11630252603016984
bt,topk,abortion,20.0,5,22.59122680008877,50.75898833069129,164.7495266318321,0.29498899060150724,0.4359388249477241,0.4397934634232357
bt,topk,social media regulation,-20.0,5,-21.420133064314722,-50.7009086754173,-164.18911855816842,0.08960088629884652,0.2590790583031561,0.31901457056623983
bt,topk,social media regulation,-10.0,5,-11.305668631661684,-26.795193121724708,-83.74502898454666,0.1541211464521122,0.22912651424122696,0.4362999723203476
bt,topk,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
bt,topk,social media regulation,10.0,5,11.596536495629698,26.294106947192375,83.13026611506939,0.06989042311921351,0.3541784323038237,0.21805780866471583
bt,topk,social media regulation,20.0,5,22.39351512128487,50.44235889001695,164.42640514969827,0.174200811156855,0.2134970551976913,0.2941082925560272
bt,random,immigration,-20.0,5,1.13967292830348,3.2987540749011233,-3.6975692918291316,0.03316917036742888,0.009551366283478009,0.05557493511187361
bt,random,immigration,-10.0,5,0.2501777920871973,0.2034201835556066,-4.0804009501356635,0.015112465366804845,0.051583217647525166,0.17953574804313185
bt,random,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
bt,random,immigration,10.0,5,0.2439690756611526,-0.3894335812560338,1.910614291811362,0.00524230555710243,0.024735591594561183,0.007576584012474823
bt,random,immigration,20.0,5,-0.25641688527539375,-2.160841779931284,1.9456763518974185,0.002014028133806642,0.004297722467962793,0.004405586799304455
bt,random,abortion,-20.0,5,1.1130706444382668,3.3112095747964787,-3.6535673688631505,0.03592298444413324,0.008260279924213106,0.06815457537883178
bt,random,abortion,-10.0,5,0.2443677619099617,0.1947962222511278,-4.10643476548139,0.012110495504810947,0.046603676852773626,0.17601897672033948
bt,random,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
bt,random,abortion,10.0,5,0.2370581769384444,-0.39099725158885124,1.911150388000533,0.004400939512339896,0.015483553090074013,0.01334759138130669
bt,random,abortion,20.0,5,-0.26079853866249325,-2.1703187624540403,1.9418431483209133,0.0016696034185770755,0.0035419602579683587,0.002269358720008624
bt,random,social media regulation,-20.0,5,1.150160352513194,3.33612445381963,-3.6914846713189036,0.02628078101544478,0.001908891599402419,0.05019129214032308
bt,random,social media regulation,-10.0,5,0.26186957424506546,0.2250705345369437,-4.156463756435551,0.016189464882975416,0.04917907491824611,0.15022468973517958
bt,random,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
